"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Djibouti","DJI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","27350","28513","30715","32838","34628","35666","","36538","37650","38009","38653","40365","42483","","44801","44444","42620","41595","","39524","38600","36929","33170","24336","23047","","16202","","15875","12505","14802","16101","15192","15144","13985",
"Dominica","DMA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","502","426","","744","949","779","779","","","","","","","","","","","","","","","","","","","240","228","319","435","535","533","773","702","286","","","","","","","","","","",
"Denmark","DNK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","9772","7881","3970","2261","2004","2739","1960","1592","3718","3781","2853","4380","5103","2270","2491","3122","","","","","","","","2330","2952","2056","674","1005","1404","2104","1835","1071","577","860","94","","","","",
"Dominican Republic","DOM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74663","68103","","46384","68161","79097","71930","75368","44256","65810","","42798","34746","41041","40239","49582","28587","26180","29807","","",
"Algeria","DZA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","582530","552460","531203","510766","491441","479981","483753","477769","483418","499170","518503","513207","513823","496400","477061","461462","443549","436104","399297","372141","375754","367840","356793","356938","360209","","270586","245098","195238","161062","144165","123499","112526","103832","92229","62151","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","11558111","7980171","6801571","5682646","6286382","5854045","5857426","6484905","7429688","8738466","9613434","10428751","8176325","5588961","5193909","4545405","4247735","4166480","4306515","4340878","4798779","3723134","3644082","3296797","3067736","2658828","2908231","2934140","2907676","3007877","3010058","2902904","2980617","",
"Early-demographic dividend","EAR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","40626136","41949040","41283416","39807920","40867552","39850864","39487688","38724776","40627208","41114184","40383484","39390828","38271524","37701092","37145840","37567696","37029336","38491944","37296936","35524556","37099828","36695752","36776680","36054672","34912172","35627768","34613784","34980816","34983776","33526792","30893420","29441200","28384840","22534806","20222980","18005274","16700533","13628625","12418687","12192675","11400000","10900000","10800000","10000000","10100000","10700000","10600000","10400000","10600000","",
"East Asia & Pacific","EAS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","12198264","8490303","7224177","6052906","6803028","6360039","6320771","6919355","7866624","9191170","10046564","10860386","8569739","5956305","5529430","4894949","4598850","4489047","4618298","4622965","5078649","3965082","3866674","3490162","3250157","2827452","3095060","3128695","3087604","3140169","3155630","3051831","3170772","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790106","969847","1026084","1109561","1082341","1175126","1082656","973492","983225","861136","707203","505725","486091","588713","606383","555947","462065","494053","423768","407544","423378","385144","421495","376698","384204","381765","423328","",
"Europe & Central Asia","ECS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","2266342","2279555","2252560","2152617","2143268","2085566","2006376","2030373","2192855","2152476","2176994","1922339","1918635","1757288","1666289","1514988","1568816","1527240","1431559","1524341","1616756","1678987","1709382","1600790","1616709","1284970","1157279","1209134","1067770","952266","782766","795116","829447","835629","760851","631381","675881","597058","563561","548064","485046","559057","504009","515543","528231","645153","",
"Ecuador","ECU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","104133","","108680","105317","109510","109850","95661","87482","72260","82140","","","","","","","","","","","","","","58190","54793","45160","25641","20865","22310","19040","6289","","","","11188","6355","","35869","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","1266100","1290590","1329260","","","","","1391874","","","","","","","","","","","","","","","","754701","","","659235","","647306","557079","499182","442636","393683","339797","","","","","","","","34210","","","","","","","",
"Euro area","EMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","594031","600367","589076","608581","570490","559033","529650","534708","453181","404569","384475","384787","411312","456480","465216","455343","379919","344482","328380","316976","336756","350005","434602","399160","434300","368511","277499","231918","96339","119295","117253","103413","126961","136943","141340","76430","74316","59098","58906","63903","71722","55679","39881","44537","87468","81001","80460","96064","142284","",
"Eritrea","ERI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115918","","117643","118796","117843","117467","","105110","92072","86806","71918","57129","46556","36483","31893","39915","46972","55380","64524","64243","64577","78569","87020","98115","","122508","","",
"Spain","ESP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","84018","60898","49450","","","","","18355","13991","","","","","","","","","20223","9411","11621","","2417","","","","","","","","","","","","","","","","","","","","","","","","8845","31428","","",
"Estonia","EST","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9043","6499","","","","","","","","323","546","654","","","","","","","566","856","927","1009","946","","",
"Ethiopia","ETH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","2563803","2645201","2757744","","","","","3742921","3815895","3795928","","3681167","3623855","3481518","3322628","3280205","3331557","3233906","2646228","2404305","2121961","1793533","1828099","2023872","1793161","1697298","","1313512","1394680","","","","",
"European Union","EUU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","804919","807523","794842","843979","823463","827530","809601","831127","774945","752230","748607","791443","789811","839437","850473","876329","805461","744266","730171","755698","793024","828950","912061","806306","753115","674967","581514","484101","252278","249081","286812","261139","281274","293069","311200","242421","236841","209268","177610","190952","183140","168709","144998","143804","191156","178576","197205","229346","304364","",
"Fragile and conflict affected situations","FCS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","7893568","8100460","8216865","8110647","8318871","8289634","8244599","8317510","8463859","8326118","8145690","7975089","8276155","8220846","8292361","8522678","8518371","8956417","9041805","9492074","10124184","9538131","9886377","10073477","10176480","10390093","10900457","11336460","11931108","12270535","12277975","12068611","11730186","11257144","11065269","11022088","10642122","10486640","9783570","9852924","9722527","9609552","9199313","9418977","9122352","9387377","9304306","","9648515","",
"Finland","FIN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2480","2485","3132","2521","2269","1227","","","","833","2292","4210","4582","5205","3956","3444","3040","2531","2169","1295","1219","437","1074","1186","1900","","",
"Fiji","FJI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1818","","1568","2269","3797","3561","2912","2946","2795","1031","","18","","","","","","293","","","","33","","598","","","","",
"France","FRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","45850","45890","","","","","113547","","18266","7067","","45421","83209","","93083","44284","","","","","","14815","41328","43495","21606","","187","","59589","64747","65122","65361","69571","67803","","","","8927","16082","25808","1185","249","6008","23727","8912","523","","","",
"Faroe Islands","FRO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","624","992","","","","",
"Gabon","GAB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8145","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","49786","78201","104981","116187","113797","105345","95229","90258","83833","49174","49210","67598","101073","111461","127901","94145","35262","2727","","","32663","67827","","","","","","","","","","2324","","10892","","2236","41344","22984","40019","34458","35245","31808","8407","","","9850","13380","","",
"Georgia","GEO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14299","1431","","","","","","","","","","","","1239","3566","","2382","2086","","1445","","2369","","","",
"Ghana","GHA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615057","501598","586280","531871","546508","","495623","453927","375416","282802","279786","","143078","","","","","","33801","69192","",
"Gibraltar","GIB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","445","484","","508","461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","339313","343910","357944","375287","384553","397340","412371","416466","","","","","","","432812","429499","416957","402905","366781","350533","334664","324384","311432","301297","316704","313173","306176","269899","280701","272119","245629","","283090","","","",
"Gambia, The","GMB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","30416","31345","32127","33122","33959","34705","33733","32930","33097","32563","30396","29676","28938","28329","28181","29198","","","","","","44670","44160","","","42988","","45001","37495","41532","42236","46423","41977","41276","44008","38669","36674","42196","","43864","44991","40820","42296","42828","33606","31082","27476","25341","",
"Guinea-Bissau","GNB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","40734","39269","","42627","43921","","50200","52794","","","","","","","","","","","","59060","","","","","","","","","","34371","","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12162","","","","","","14599","11777","13209","13697","","","","","29625","31484","33189","33818","34362","","","40811","","","","",
"Greece","GRC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","35369","32337","26621","19186","16895","15079","17309","20723","26144","34921","27030","26727","22809","23254","24090","28335","39115","35476","37810","39541","39631","44831","50810","50556","38540","39507","34337","8754","6112","2299","6936","8496","9531","13240","16237","17337","16624","","","12672","11869","9630","8879","10887","8100","5398","3773","","",
"Grenada","GRD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","1843","","","","","197","","","479","768","1012","994","764","","","","","","","","","","","","","","","","","","","","","182","","","","","","","","","","","","","","",
"Greenland","GRL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","261893","263501","266688","","273224","275657","","","287841","","","283586","305458","295625","","","","","","","","","","","","","","287433","","182725","161092","175089","144303","","101262","85342","68606","56736","57001","","","47044","82705","110081","132424","135842","142679","130208","117083","",
"Guam","GUM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","8340","7533","","5478","","8081","5231","","7291","","","7002","","","","","","","","","4703","5960","6639","","5681","6338","","","","","","","4372","","","","","1181","4405","2547","","","","","","","","","",
"High income","HIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","4466122","4178719","3961733","3820943","3722331","2919548","2920766","2710630","2900101","3058376","3017119","2727526","2365216","2167731","2041094","2100088","2140299","2326392","2329953","2364160","2235683","2203220","2291948","1589728","1415240","1451408","1273693","1470801","1393252","1274084","983024","862463","723450","666494","726382","756126","829041","749883","738608","614268","575514","423060","435307","626411","",
